TIME,ALT,GCR,MACH,ALPHA,ALPHL,GAM
0.00000000000000000,0.00000000000000000,0.00000000000000000,7.99408842351572000,0.00000000000000000,0.40072759625789100,0.40072759625789100
0.10000000000000000,344.35480432957400000,0.13510091238673900,7.96247722505160000,0.00000000000000000,0.39371130716339700,0.39371130716339700
0.20000000000000000,681.37038285657700000,0.26989599001869500,7.93170798999870000,0.00000000000000000,0.38705250776555800,0.38705250776555800
0.30000000000000000,1011.41518394649000000,0.40437458373491000,7.90172688061453000,0.00000000000000000,0.38072758765838900,0.38072758765838900
0.40000000000000000,1334.83286586403000000,0.53852754592097900,7.87248556353529000,0.00000000000000000,0.37471491896522100,0.37471491896522100
0.50000000000000000,1651.94439491629000000,0.67234705426882500,7.84394049355209000,0.00000000000000000,0.36899463921284200,0.36899463921284200
0.60000000000000000,1963.04991745203000000,0.80582644895530400,7.81605230814877000,0.00000000000000000,0.36354846375725800,0.36354846375725800
0.70000000000000000,2268.43043586239000000,0.93896011526841000,7.78878531302248000,0.00000000000000000,0.35835952300268700,0.35835952300268700
0.80000000000000000,2568.34931393340000000,1.07174335177311000,7.76210704279364000,0.00000000000000000,0.35341222053292500,0.35341222053292500
0.90000000000000000,2863.05363299325000000,1.20417227944494000,7.73598788420884000,0.00000000000000000,0.34869210897039800,0.34869210897039800
0.99999999999999900,3152.77541710063000000,1.33624374606022000,7.71040075156327000,0.00000000000000000,0.34418578093430100,0.34418578093430100
1.10000000000000000,3437.73274287581000000,1.46795524727473000,7.68532080598028000,0.00000000000000000,0.33988077291643100,0.33988077291643100
1.20000000000000000,3718.13074733689000000,1.59930486098456000,7.66072521170005000,0.00000000000000000,0.33576548025504100,0.33576548025504100
1.30000000000000000,3994.16254530474000000,1.73029118153063000,7.63659292374164000,0.00000000000000000,0.33182908168146800,0.33182908168146800
1.40000000000000000,4266.01006633788000000,1.86091326843636000,7.61290450227349000,0.00000000000000000,0.32806147215516700,0.32806147215516700
1.50000000000000000,4533.84481986612000000,1.99117059286453000,7.58964194981412000,0.00000000000000000,0.32445320290090100,0.32445320290090100
1.60000000000000000,4797.82859609648000000,2.12106299811400000,7.56678856802344000,0.00000000000000000,0.32099542772562500,0.32099542772562600
1.70000000000000000,5058.11410927772000000,2.25059066013009000,7.54432883136560000,0.00000000000000000,0.31767985482859000,0.31767985482859000
1.80000000000000000,5314.84558915346000000,2.37975405287733000,7.52224827535329000,0.00000000000000000,0.31449870343164800,0.31449870343164800
1.90000000000000000,5568.15932567417000000,2.50855391618061000,7.50053339743482000,0.00000000000000000,0.31144466465178500,0.31144466465178500
2.00000000000000000,5818.18417149782000000,2.63699122908610000,7.47917156887863000,0.00000000000000000,0.30851086611781600,0.30851086611781600
2.10000000000000000,6065.04200623557000000,2.76506718495592000,7.45815095625165000,0.00000000000000000,0.30569083990068900,0.30569083990068900
2.20000000000000000,6308.84816603735000000,2.89278316905371000,7.43746045129305000,0.00000000000000000,0.30297849338402800,0.30297849338402800
2.30000000000000000,6549.71184158325000000,3.02014073782030000,7.41708960815137000,0.00000000000000000,0.30036808275017400,0.30036808275017400
2.40000000000000000,6787.73644736781000000,3.14714160056063000,7.39702858710048000,0.00000000000000000,0.29785418879849500,0.29785418879849500
2.50000000000000000,7023.01996472850000000,3.27378760364301000,7.37726810396709000,0.00000000000000000,0.29543169484824000,0.29543169484824000
2.60000000000000000,7255.65526089444000000,3.40008071612723000,7.35779938460724000,0.00000000000000000,0.29309576650874500,0.29309576650874500
2.70000000000000000,7485.73038607463000000,3.52602301456121000,7.33861412385576000,0.00000000000000000,0.29084183312601600,0.29084183312601600
2.80000000000000000,7713.32885037735000000,3.65161667288473000,7.31970444844606000,0.00000000000000000,0.28866557073745100,0.28866557073745100
2.90000000000000000,7938.52988222613000000,3.77686394994717000,7.30106288346299000,0.00000000000000000,0.28656288638607400,0.28656288638607400
3.00000000000000000,8161.40866974368000000,3.90176717987825000,7.28268232194470000,0.00000000000000000,0.28452990366270700,0.28452990366270700
3.10000000000000000,8382.03658642247000000,4.02632876368837000,7.26455599729664000,0.00000000000000000,0.28256294935937200,0.28256294935937200
3.20000000000000000,8600.48140231892000000,4.15055115928485000,7.24667745822195000,0.00000000000000000,0.28065854113014800,0.28065854113014800
3.30000000000000000,8816.80748185887000000,4.27443687606317000,7.22904054590691000,0.00000000000000000,0.27881337606704100,0.27881337606704100
3.40000000000000000,9031.07596927136000000,4.39798846716820000,7.21163937323141000,0.00000000000000000,0.27702432010834900,0.27702432010834900
3.50000000000000000,9243.34496253356000000,4.52120852248161000,7.19446830579923000,0.00000000000000000,0.27528839820574000,0.27528839820574000
3.60000000000000000,9453.66967669874000000,4.64409966445699000,7.17752194460837000,0.00000000000000000,0.27360278518391800,0.27360278518391800
3.70000000000000000,9662.10259733721000000,4.76666454130646000,7.16079511019956000,0.00000000000000000,0.27196479723352400,0.27196479723352400
3.80000000000000000,9868.69362481311000000,4.88890582392156000,7.14428282814036000,0.00000000000000000,0.27037188398393800,0.27037188398393800
3.90000000000000000,10073.49020999290000000,5.01082620010116000,7.12798031571616000,0.00000000000000000,0.26882162110788300,0.26882162110788300
4.00000000000000000,10276.53748204180000000,5.13242837165993000,7.11188296971562000,0.00000000000000000,0.26731170341450500,0.26731170341450500
4.10000000000000000,10477.87836876880000000,5.25371505018444000,7.09598635520648000,0.00000000000000000,0.26583993839172000,0.26583993839172000
4.20000000000000000,10677.55371007690000000,5.37468895434120000,7.08028619521188000,0.00000000000000000,0.26440424016237100,0.26440424016237100
4.30000000000000000,10875.60236493870000000,5.49535280609663000,7.06477836120399000,0.00000000000000000,0.26300262382205100,0.26300262382205100
4.40000000000000000,11072.06131234390000000,5.61570932858825000,7.04945886434189000,0.00000000000000000,0.26163320012940000,0.26163320012940000
4.50000000000000000,11266.96574658150000000,5.73576124333470000,7.03432384738658000,0.00000000000000000,0.26029417052232800,0.26029417052232800
4.60000000000000000,11460.34916724630000000,5.85551126822599000,7.01936957723401000,0.00000000000000000,0.25898382243602900,0.25898382243602900
